Homo sapiens
Aedes aegypti
Anolis carolinensis
Acropora digitifera
Anopheles gambiae
Acanthopleura granulata
Alligator mississippiensis
Amphimedon queenslandica
unclassified Actinernus
Ascaris suum
Adineta vaga
Branchiostoma floridae
Blattella germanica
Brachionus koreanus
Branchiostoma lanceolatum
Brachionus plicatilis
Bos taurus
Caenorhabditis briggsae
Caenorhabditis elegans
Canis lupus familiaris
Ciona intestinalis
Callithrix jacchus
Columba livia
Callorhinchus milii
Chrysemys picta bellii
Cavia porcellus
Centruroides sculpturatus
Capitella teleta
Drosophila ananassae
Dimorphilus gyrociliatus
Diachasmimorpha longicaudata
Daphnia magna
Drosophila melanogaster
Drosophila mojavensis
Dasypus novemcinctus
Daphnia pulex
Danio rerio
Drosophila simulans
Drosophila yakuba
Epimenia babai
Eptatretus burgeri
Equus caballus
Eisenia fetida
Echinococcus granulosus
Ephydatia muelleri
Euprymna scolopes
Echinops telfairi
Gallus gallus
Gekko japonicus
Gadus morhua
Glossina pallidipes
Gyrodactylus salaris
Gordius sp.
Heliconius melpomene
Hofstenia miamia
Haliotis rufescens
Hydra vulgaris
Ixodes scapularis
Loxodonta africana
Lingula anatina
Latimeria chalumnae
Lottia gigantea
Laevipilina hyalina
Lineus longissimus
Lepisosteus oculatus
Limulus polyphemus
Monopterus albus
Monodelphis domestica
Magallana gigas
Macaca mulatta
Microcebus murinus
Mus musculus
Mopalia muscosa
Microcaecilia unicolor
Neoechinorhynchus agilis
Notamacropus eugenii
Nautilus pompilius
Nematostella vectensis
Ornithorhynchus anatinus
Octopus bimaculoides
Oryctolagus cuniculus
Owenia fusiformis
Octopus vulgaris
Pongo abelii
Phoronis australis
Python bivittatus
Priapulus caudatus
Prostheceraeus crozeri
Platynereis dumerilii
Ptychodera flava
Pomphorhynchus laevis
Petromyzon marinus
Patiria miniata
Pictodentalium vernedei
Rattus norvegicus
Ruditapes philippinarum
Sarcophilus harrisii
Saccoglossus kowalevskii
Schistosoma mansoni
Schmidtea mediterranea
Seison nebaliae
Sipunculus nudus
Sphenodon punctatus
Strongylocentrotus purpuratus
Symsagittifera roscoffensis
Scyliorhinus torazame
Tribolium castaneum
Taeniopygia guttata
Tetraodon nigroviridis
Tetranychus urticae
Wirenia argentea
Xenoturbella bocki
Xenopus laevis
Xenopus tropicalis
