3_letter_code,common_name,taxid
aae,Yellow fever mosquito,7159
aca,Green anole lizard,28377
adi,Stony coral,70779
aga,African malaria mosquito,7165
agr,West Indian fuzzy chiton,61363
ami,American alligator,8496
aqu,Amphimedon,400682
asp,Deep-sea anemone,2984946
asu,Large roundworm,6253
ava,Bdelloid rotifer,104782
bfl,Florida lancelet,7739
bge,Cockroach,6973
bko,Monogonont Rotifer 2,1199090
bla,European lancelet,7740
bpl,Monogonont Rotifer 1,10195
bta,Cow,9913
cbr,Roundworm,6238
cel,Roundworm,6239
cfa,Dog,9615
cin,Sea Squirt,7719
cja,White-tufted-ear marmoset,9483
cli,Rock pigeon,8932
cmi,Australian ghostshark,7868
cpi,Western painted turtle,8478
cpo,Guinea pig,10141
csc,Arizona bark scorpion,218467
cte,Polychaete worm,283909
dan,Fruit fly,7217
dgr,Dimorphilus gyrociliatus,2664684
dlo,Braconid wasp,58733
dma,Large common water flea,35525
dme,Fruit fly,7227
dmo,Fruit fly,7230
dno,Nine-banded armadillo,9361
dpu,Common water flea,6669
dre,Zebrafish,7955
dsi,Fruit fly,7240
dya,Fruit fly,7245
eba,Epimenia (Solenogaster),231999
ebu,Inshore hagfish,7764
eca,Horse,9796
efe,Common brandling worm,6396
egr,Hydatid worm,6210
emu,Muellers freshwater sponge,6052
esc,Hawaiian bobtail squid,6613
ete,Lesser hedgehog tenrec,9371
gga,Chicken,9031
gja,Schlegels Japanese gecko,146911
gmo,Cod,8049
gpa,Tsetse fly,7398
gsa,Russian doll killer,37629
gsp,Montseny horsehair worm,46637
hme,Longwing butterfly,34740
hmi,Panther worm,442651
hru,Red Abalone,6454
hsa,Human,9606
hvu,Freshwater-polyp,6087
isc,Deer tick,6945
laf,African bush elephant,9785
lan,Lingula,7574
lch,Coelacanth,7897
lgi,Owl limpet,225164
lhy,Laevipilina (Monoplacophora),651133
llo,Bootlace worm,88925
loc,Spotted gar,7918
lpo,Atlantic horseshoe crab,6850
mal,Asian swamp eel,43700
mdo,Gray short-tailed opossum,13616
mgi,Pacific oyster,29159
mml,Rhesus monkey,9544
mmr,Gray mouse lemur,30608
mmu,House mouse,10090
mom,Mossy chiton,256104
mun,Microcaecilia,1415580
nag,Thorny-headed worm 1,2593365
neu,Tammar Wallaby,9315
npo,Chambered Nautilus,34573
nve,Starlet sea anemone,45351
oan,Platypus,9258
obi,California two-spot octopus,37653
ocu,Rabbit,9986
ofu,Tubeworm,6347
ovu,Common octopus,6645
pab,Sumatran orangutan,9601
pau,Horseshoe worm,115415
pbv,Burmese python,176946
pca,Penis worm,37621
pcr,Tiger flatworm,2291463
pdu,Dumerils clam worm,6359
pfl,Ptychodera,63121
ple,Thorny-headed worm 2,141832
pma,Sea Lamprey,7757
pmi,Bat starfish,46514
pve,Vernerds tusk shell,2996714
rno,Norway rat,10116
rph,Japanese carpet shell,129788
sha,Tasmanian devil,9305
sko,Saccoglossus,10224
sma,Blood fluke,6183
sme,Freshwater planarian,79327
sne,Seison,104778
snu,Peanut worm,6446
spt,Tuatara,8508
spu,Purple sea urchin,7668
sro,Roscoff worm,84072
sto,Cloudy Catshark,75743
tca,Red flour beetle,7070
tgu,Zebra finch,59729
tni,Pufferfish,99883
tur,Two-spotted spider mite,32264
war,Wirenia (Solenogaster),669229
xbo,Xenoturbella,242395
xla,African clawed frog,8355
xtr,Tropical clawed frog,8364
