Chromosome	Type	Start	End	Strand	ID	Alias	Start_Flanking	End_Flanking
chr1	pre_miRNA	1167124	1167182	+	Hsa-Mir-8-P1a_pre	MI0000342	1167094	1167212
chr1	pre_miRNA	1167878	1167938	+	Hsa-Mir-8-P2a_pre	MI0000737	1167848	1167968
chr1	pre_miRNA	1169020	1169076	+	Hsa-Mir-8-P3a_pre	MI0001641	1168990	1169106
chr1	pre_miRNA	3560710	3560769	-	Hsa-Mir-551-P1_pre	MI0003556	3560680	3560799
chr1	pre_miRNA	9151692	9151756	-	Hsa-Mir-34-P1_pre	MI0000268	9151662	9151786
chr1	pre_miRNA	34669613	34669671	-	Hsa-Mir-552_pre	MI0003557	34669583	34669701
chr1	pre_miRNA	37500935	37500993	-	Hsa-Mir-5581_pre	MI0019136	37500905	37501023
chr1	pre_miRNA	40754371	40754434	+	Hsa-Mir-30-P1d_pre	MI0000749	40754341	40754464
chr1	pre_miRNA	40757300	40757360	+	Hsa-Mir-30-P2d_pre	MI0000736	40757270	40757390
chr1	pre_miRNA	65058441	65058499	-	Hsa-Mir-101-P1-v1_pre	MI0000103	65058411	65058529
chr1	pre_miRNA	71067642	71067702	-	Hsa-Mir-186_pre	MI0000483	71067612	71067732
chr1	pre_miRNA	93846843	93846900	+	Hsa-Mir-760_pre	MI0005567	93846813	93846930
chr1	pre_miRNA	98046091	98046149	-	Hsa-Mir-137-P1-v1_pre	MI0000454	98046061	98046179
chr1	pre_miRNA	109598901	109598961	+	Hsa-Mir-197_pre	MI0000239	109598871	109598991
chr1	pre_miRNA	116671755	116671808	+	Hsa-Mir-320-P2a_pre	MI0003776	116671725	116671838
chr1	pre_miRNA	154193674	154193733	-	Hsa-Mir-190-P3_pre	MI0005545	154193644	154193763
chr1	pre_miRNA	155195196	155195258	+	Hsa-Mir-92-P1d_pre	MI0003560	155195166	155195288
chr1	pre_miRNA	156103047	156103105	-	Hsa-Mir-12462-v1_pre		156103017	156103135
chr1	pre_miRNA	156420353	156420414	-	Hsa-Mir-9-P3_pre	MI0000466	156420323	156420444
chr1	pre_miRNA	162342561	162342620	+	Hsa-Mir-556_pre	MI0003562	162342531	162342650
chr1	pre_miRNA	171101737	171101797	-	Hsa-Mir-1295_pre	MI0006357	171101707	171101827
